Pd-98,0.105405405,0.517,16.3
Pd-99,0.207837838,5.42,27.9
Pm-136,0.416216216,5.86,21.3
Pm-137m,0.275675676,4.57,19.9
Pm-139,0.145945946,5.11,18
Pm-140m,0.456756757,7.7,28
Pm-140,0.162432432,5.33,17.5
Pm-141,0.114054054,5.87,23.3
Pm-142,0.133243243,5.15,17
Pm-143,0.056216216,5.69,23
Pm-144,0.248648649,6.34,20.6
Pm-145,0.012864865,0.0418,0.136
Pm-146,0.120540541,5.52,20.2
Pm-148,0.081351351,12.1,41.4
Pm-148m,0.305405405,6.68,22.3
Pm-149,0.001781081,1.96,10.3
Pm-150,0.207567568,10.5,40.1
Pm-151,0.051351351,2.3,13.7
Pm-152m,0.218108108,8.38,37
Pm-152,0.041351351,10.3,36.7
Pm-153,0.014243243,0.176,1.93
Pm-154,0.238378378,15.7,49.4
Pm-154m,0.252432432,11.3,42.7
Po-203,0.235945946,10.6,36.7
Po-204,0.175405405,6.35,28.1
Po-205,0.229459459,10.9,36.2
Po-206,0.180810811,6.42,27.7
Po-207,0.189459459,9.86,33.3
Po-209,0.000897297,5.83,27.8
Po-211,0.00122973,8.61,27.5
Po-212m,0.009432432,17.4,57.8
Po-214,1.24865E-05,9.67,28.6
